"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\User\Downloads\Documents\Flutter\web_dashboard\lib\config.dart", "Dart", 9, 2, 2, 13
"c:\Users\User\Downloads\Documents\Flutter\web_dashboard\lib\homeScreen.dart", "Dart", 189, 32, 18, 239
"c:\Users\User\Downloads\Documents\Flutter\web_dashboard\lib\instance\MQTTAppState.dart", "Dart", 20, 1, 7, 28
"c:\Users\User\Downloads\Documents\Flutter\web_dashboard\lib\instance\forceRefresh\refreshTokenDueLongPeriod.dart", "Dart", 59, 11, 7, 77
"c:\Users\User\Downloads\Documents\Flutter\web_dashboard\lib\instance\mqttManagerUniversal.dart", "Dart", 0, 333, 56, 389
"c:\Users\User\Downloads\Documents\Flutter\web_dashboard\lib\instance\mqtt\mqttClientFactory.dart", "Dart", 3, 0, 1, 4
"c:\Users\User\Downloads\Documents\Flutter\web_dashboard\lib\instance\mqtt\mqttClientFactoryNull.dart", "Dart", 4, 0, 2, 6
"c:\Users\User\Downloads\Documents\Flutter\web_dashboard\lib\instance\mqtt\mqttClientFactoryServer.dart", "Dart", 17, 6, 6, 29
"c:\Users\User\Downloads\Documents\Flutter\web_dashboard\lib\instance\mqtt\mqttClientFactoryWeb.dart", "Dart", 16, 3, 6, 25
"c:\Users\User\Downloads\Documents\Flutter\web_dashboard\lib\instance\mqtt\mqttManager.dart", "Dart", 192, 57, 51, 300
"c:\Users\User\Downloads\Documents\Flutter\web_dashboard\lib\main.dart", "Dart", 43, 3, 7, 53
"c:\Users\User\Downloads\Documents\Flutter\web_dashboard\lib\model\alert\alert.dart", "Dart", 121, 0, 19, 140
"c:\Users\User\Downloads\Documents\Flutter\web_dashboard\lib\model\alert\alertNotification.dart", "Dart", 22, 0, 4, 26
"c:\Users\User\Downloads\Documents\Flutter\web_dashboard\lib\model\cleaner\cleaners.dart", "Dart", 45, 0, 9, 54
"c:\Users\User\Downloads\Documents\Flutter\web_dashboard\lib\model\cleaner\cleanersChart.dart", "Dart", 90, 0, 15, 105
